abandon	abandon [ə'bændən] (動) 放棄；拋棄
queue	queue [kju] (名) 排隊；長列
quick	quick [kwɪk] (形) 快的；迅速的　(副) 快速地
quickly	quickly ['kwɪkli] (副) 快速地；迅速地
quiet	quiet ['kwaɪət] (形) 安靜的；平靜的　(動) 使安靜；平靜下來
quietly/	quietly/ ['kwaɪətli] (副) 安靜地；悄悄地
quietly	quietly ['kwaɪətli] (副) 安靜地；平靜地
quilt	quilt [kwɪlt] (名) 棉被；被子
quip	quip [kwɪp] (動) 說俏皮話；嘲弄　(名) 俏皮話；諷刺
quirk	quirk [kwɝk] (名) 奇特之處；怪癖
quirky	quirky ['kwɝkɪ] (形) 古怪的；離奇的
quit	quit [kwɪt] (動) 辭去；戒除
quite	quite [kwaɪt] (副) 相當；頗
quiver	quiver ['kwɪvɚ] (動) 顫抖；顫動　(名) 顫抖；箭筒
quiz	quiz [kwɪz] (名) 小考；測驗
quorum	quorum ['kwɔrəm] (名) 法定人數
quota	quota ['kwotə] (名) 配額；限額
quotation	quotation [kwo'teʃən] (名) 報價單；引文
quote	quote [kwoʊt] (動) 引用；報價
rabbit	rabbit ['ræbɪt] (名) 兔子
rabid	rabid ['ræbɪd] (形) 狂犬病的；瘋狂的
rabies	rabies ['rebiz] (名) 狂犬病
raccoon	raccoon [ræ'kun] (名) 浣熊
race	race [reɪs] (名) 種族；競賽　(動) 競賽；全速進行
racial	racial ['reʃəl] (形) 種族的；人種的
racing	racing ['resɪŋ] (名) 賽車；競賽　(動) 競速；賽跑
racism	racism ['reˌsɪzəm] (名) 種族歧視；種族主義
racist	racist ['resɪst] (形) 種族歧視的；(名) 種族主義者
rack	rack [ræk] (動) 折磨；使痛苦；(名) 架子；擱架
radar	radar ['redɑr] (名) 雷達
radiance	radiance ['redɪəns] (名) 光輝；光彩
radiant	radiant ['redɪənt] (形) 燦爛的；光芒四射的
radiate	radiate ['reɪdi.eɪt] (動) 輻射；散發
radiation	radiation [ˌredi'eʃən] (名) 輻射；放射線
radiator	radiator ['redɪˌetɚ] (名) 散熱器；暖氣片
radical	radical ['rædɪkl] (形) 根本的；激進的
radically	radically ['rædɪkli] (副) 徹底地；根本地
radio	radio ['redɪ.o] (名) 收音機；無線電
radioactive	radioactive [ˌredio'æktɪv] (形) 放射性的
radiology	radiology [ˌredi'ɑlədʒi] (名) 放射學；放射科
radish	radish ['rædɪʃ] (名) 蘿蔔
raffle	raffle ['ræfəl] (名) 抽獎；摸彩
raft	raft [ræft] (名) 木筏；橡皮艇
rag	rag [ræg] (名) 破布；抹布
rage	rage [reɪdʒ] (名) 憤怒；暴怒　(動) 發怒；肆虐
ragged	ragged ['rægɪd] (形) 破爛的；衣衫襤褸的
raging	raging ['redʒɪŋ] (形) 猛烈的；狂暴的
raid	raid [red] (名) 突襲；搶劫　(動) 突襲；搶劫
raider	raider ['reɪdɚ] (名) 掠奪者；襲擊者
rail	rail [rel] (名) 鐵軌；欄杆
railroad	railroad ['reˌloʊd] (名) 鐵路；(動) 用鐵路運輸
railway	railway ['relˌwe] (名) 鐵路；鐵道
rain	rain [reɪn] (名) 雨　(動) 下雨
rainbow	rainbow ['ren.bo] (名) 彩虹
raincoat	raincoat ['ren.kot] (名) 雨衣
raindrop	raindrop ['reɪn.drɑp] (名) 雨滴
rainfall	rainfall ['rɛn.fɔl] (名) 降雨；降雨量
rainy	rainy ['reni] (形) 下雨的；多雨的
raise	raise [rez] (動) 養育；提高；籌集
raiser	raiser ['rezɚ] (名) 募款者；籌集者
raisin	raisin ['reɪzən] (名) 葡萄乾
rake	rake [rek] (名) 耙子　(動) 耙；搜尋
rally	rally ['ræli] (名) 集會；恢復　(動) 召集；恢復
ramble	ramble ['ræmbəl] (動) 漫談；閒聊
ramification	ramification [ˌræməfə'keʃən] (名) 結果；後果
ramifications	ramifications [ræməfə'keʃənz] (名) 結果；影響
rampant	rampant ['ræmpənt] (形) 猖獗的；泛濫的
ranch	ranch [ræntʃ] (名) 牧場；大農場
rancid	rancid ['rænsɪd] (形) 腐臭的；酸敗的
random	random ['rændəm] (形) 隨機的；任意的
randomly	randomly ['rændəmlɪ] (副) 隨機地；任意地
range	range [reɪndʒ] (名) 範圍；山脈　(動) 排列；（在…之間）變化
rank	rank [ræŋk] (名) 排名；等級　(動) 排名；分級
ranking	ranking ['ræŋkɪŋ] (名) 排名；等級
ransack	ransack ['rænsæk] (動) 洗劫；掠奪
ransom	ransom ['rænsəm] (名) 贖金
rant	rant [rænt] (名) 咆哮；怒斥　(動) 咆哮；發怒
rap	rap [ræp] (名) 饒舌歌；敲擊聲　(動) 敲擊；責罵
rapacious	rapacious [rə'peʃəs] (形) 貪婪的；掠奪的
rapaciously	rapaciously [rə'peʃəsli] (副) 貪婪地；掠奪地
rape	rape [rep] (名) 強暴；強姦
rapid	rapid ['ræpɪd] (形) 快速的；迅速的
rapidly	rapidly ['ræpɪdli] (副) 快速地；迅速地
rare	rare [rɛr] (形) 稀有的；罕見的
rarely	rarely ['rɛrli] (副) 很少；罕見地
rarity	rarity ['rɛrəti] (名) 稀有；罕見
rascal	rascal ['ræskəl] (名) 淘氣鬼；流氓
rash	rash [ræʃ] (形) 輕率的；魯莽的　(名) 疹子
rashly	rashly ['ræʃli] (副) 魯莽地；輕率地
rasp	rasp [ræsp] (名) 刺耳聲；銼刀　(動) 發出刺耳聲；用銼刀銼
rat	rat [ræt] (名) 老鼠；耗子
rate	rate [reɪt] (名) 速率；比率　(動) 評價；評定等級
rather	rather ['ræðɚ] (副) 相當；頗　(連) 寧願；與其...不如
ratherthan	ratherthan [ræðɚðæn] (片) 而不是；寧可...也不願
ratify	ratify ['rætəfaɪ] (動) 批准；認可
rating	rating ['retɪŋ] (名) 評分；等級
ratio	ratio ['reʃo] (名) 比率；比例
ration	ration ['ræʃən] (動) 配給；定量供應　(名) 配給量；口糧
rational	rational ['ræʃənəl] (形) 理性的；合理的
rationale	rationale [ˌræʃə'næl] (名) 理由；邏輯依據
rattle	rattle ['rætəl] (動) 發出嘎嘎聲；使作響　(名) 嘎嘎聲；撥浪鼓
raucous	raucous ['rɔkəs] (形) 喧鬧的；吵鬧的
ravage	ravage ['rævɪdʒ] (動) 摧毀；蹂躪
rave	rave [rev] (動) 狂讚；極力讚揚
ravenous	ravenous ['rævənəs] (形) 極餓的；貪婪的
raw	raw [rɔ] (形) 生的；未經加工的
ray	ray [reɪ] (名) 光線；射線
raze	raze [rez] (動) 夷為平地；徹底摧毀
razor	razor ['rezɚ] (名) 刮鬍刀；剃刀
reach	reach [ritʃ] (動) 到達；達成
reachfor	reachfor [ritʃ'fɔr] (片) 伸手拿；達到；追求
react	react [ri'ækt] (動) 反應；回應
reaction	reaction [ri'ækʃən] (名) 反應；回應
reactor	reactor [ri'æktɚ] (名) 反應器；反應爐
read	read [rid] (動) 閱讀；朗讀
reader	reader ['ridɚ] (名) 讀者；閱讀器
readership	readership ['ridɚʃɪp] (名) 讀者群；讀者人數
readily	readily ['rɛdəli] (副) 樂意地；迅速地
reading	reading ['ridɪŋ] (名) 閱讀；讀物　(動) 閱讀；朗讀
ready	ready ['rɛdi] (形) 準備好的；樂意的
reagent	reagent [ri'eɪdʒənt] (名) 試劑；反應物
real	real [riəl] (形) 真正的；實際的
realism	realism ['riəˌlɪzəm] (名) 寫實主義；現實主義
realistic	realistic [ˌriə'lɪstɪk] (形) 現實的；實際的
reality	reality [ri'æləti] (名) 現實；實際情況
realization	realization [ˌriəlɪ'zeʃən] (名) 領悟；實現
realize	realize ['riəˌlaɪz] (動) 體認；實現
really	really ['rɪli] (副) 真正地；非常
realm	realm [rɛlm] (名) 領域；王國
ream	ream [rim] (動) 擴孔；仔細檢查
reap	reap [rip] (動) 獲得；收割
reappear	reappear [ˌriə'pɪr] (動) 重新出現；再現
rear	rear [rɪr] (動) 養育；飼養；種植
rearview	rearview ['rɪr.vju] (名) 後視鏡
reason	reason ['rizən] (名) 理由；原因　(動) 推理；思考
reasonable	reasonable ['rizənəbəl] (形) 合理的；通情達理的
reasonably	reasonably ['rizənəblɪ] (副) 合理地；適度地
reasoning	reasoning ['rizənɪŋ] (名) 推理；論證　(動) 推理；思考
reassure	reassure [ˌriə'ʃʊr] (動) 使安心；安慰
rebate	rebate ['ribeɪt] (名) 折扣；退款
rebel	rebel [rɪ'bɛl] (動) 反抗；叛逆
rebellion	rebellion [rɪ'bɛljən] (名) 反抗；叛亂
rebellious	rebellious [rɪ'bɛljəs] (形) 叛逆的；反抗的
rebirth	rebirth [ri'bɝθ] (名) 重生；復興
rebound	rebound [rɪ'baʊnd] (動) 反彈；回升　(名) 反彈；復甦
rebuild	rebuild [ri'bɪld] (動) 重建；改造
rebuke	rebuke [rɪ'bjuk] (名) 責備；指責　(動) 責備；訓斥
recall	recall [rɪ'kɔl] (動) 回憶；召回
recede	recede [rɪ'sid] (動) 退去；減退
receipt	receipt [rɪ'sit] (名) 收據；發票　(動) 收到；簽收
receive	receive [rɪ'siv] (動) 收到；接受
receiver	receiver [rɪ'sivɚ] (名) 接收者；聽筒；外野手
recent	recent ['risnt] (形) 最近的；近期的
recently	recently ['risntli] (副) 最近；近來
recepient	recepient [rɪ'sɪpɪənt] (名) 接受者；受領者
reception	reception [rɪ'sɛpʃən] (名) 接待；接待會
receptionist	receptionist [rɪ'sɛpʃənɪst] (名) 接待員；櫃檯人員
receptive	receptive [rɪ'sɛptɪv] (形) 樂於接受的；願意傾聽的
receptively	receptively [rɪ'sɛptɪvlɪ] (副) 樂於接受地；善於接納地
receptiveness	receptiveness [rɪ'sɛptɪvnɪs] (名) 接納；開放性
recess	recess [rɪ'sɛs] (名) 休息；休會　(動) 休會；休息
recession	recession [rɪ'sɛʃən] (名) 經濟衰退；蕭條
recessive	recessive [rɪ'sɛsɪv] (形) 隱性的；後退的
recipe	recipe ['rɛsəpi] (名) 食譜；處方
recipient	recipient [rɪ'sɪpɪənt] (名) 接受者；得主
reciprocal	reciprocal [rɪ'sɪprəkl] (形) 相互的；互惠的
reciprocate	reciprocate [rɪ'sɪprəˌket] (動) 回報；報答
recite	recite [rɪ'saɪt] (動) 背誦；朗誦
reckless	reckless ['rɛkləs] (形) 魯莽的；不顧後果的
reckon	reckon ['rɛkən] (動) 認為；估計
reclaim	reclaim [rɪ'klem] (動) 回收；開墾
recline	recline [rɪ'klaɪn] (動) 倚靠；躺
recliner	recliner [rɪ'klaɪnɚ] (名) 躺椅；可躺式座椅
reclusive	reclusive [rɪ'klusɪv] (形) 隱居的；孤僻的
recognition	recognition [rɛkəg'nɪʃən] (名) 認可；承認
recognizable	recognizable [rɛkəg'naɪzəbl] (形) 可辨認的；可識別的
recognize	recognize ['rɛkəɡ.naɪz] (動) 認出；承認；表揚
recoil	recoil [rɪ'kɔɪl] (動) 退縮；畏縮
recollect	recollect [ˌrɛkə'lɛkt] (動) 回憶；想起
recollection	recollection [ˌrɛkə'lɛkʃən] (名) 回憶；記憶
recommend	recommend [rɛkə'mɛnd] (動) 推薦；建議
recommendation	recommendation [rɛkəmɛn'deʃən] (名) 推薦；建議
reconcile	reconcile ['rɛkən.saɪl] (動) 調解；使和好
reconciliation	reconciliation [rɛkənˌsɪli'eʃən] (名) 和解；調和
recondite	recondite [rɪ'kɑndaɪt] (形) 深奧的；難解的
reconfirm	reconfirm [ˌriːkən'fɝːm] (動) 再次確認；重新確認
reconsider	reconsider [ˌriːkən'sɪdɚ] (動) 重新考慮
reconstruct	reconstruct [ˌrikən'strʌkt] (動) 重建；修復
reconstruction	reconstruction [ˌrikən'strʌkʃən] (名) 重建；改建
record	record (名) ['rɛkɚd] 紀錄；唱片　(動) [rɪ'kɔrd] 記錄；錄音
recorder	recorder [rɪ'kɔrdɚ] (名) 錄音機；記錄器
recording	recording [rɪ'kɔrdɪŋ] (名) 錄音；錄影
recount	recount [rɪ'kaʊnt] (動) 講述；詳細描述
recover	recover [rɪ'kʌvɚ] (動) 恢復；康復
recoverable	recoverable [rɪ'kʌvərəbəl] (形) 可恢復的；可復原的
recovery	recovery [rɪ'kʌvəri] (名) 恢復；康復
recreation	recreation [rɛkrɪ'eʃən] (名) 休閒；娛樂
recreational	recreational [rɛkri'eʃənəl] (形) 娛樂的；消遣的
recruit	recruit [rɪ'krut] (動) 招募；徵募
rectangle	rectangle ['rɛk.tæŋ.gəl] (名) 長方形；矩形
rectangular	rectangular [rɛk'tæŋgjəlɚ] (形) 長方形的
rectify	rectify ['rɛktəˌfaɪ] (動) 改正；糾正
rectitude	rectitude ['rɛktə.tjud] (名) 正直；端正
recuperate	recuperate [rɪ'kupəˌret] (動) 恢復；康復
recur	recur [rɪ'kɝ] (動) 再次發生；重現
recurrence	recurrence [rɪ'kɝəns] (名) 復發；重現
recurring	recurring [rɪ'kɝɪŋ] (形) 一再發生的；反覆出現的
recurringly	recurringly [rɪ'kɝɪŋli] (副) 反覆地；一再地
recyclable	recyclable [rɪ'saɪkləbəl] (形) 可回收的
recycle	recycle [ri'saɪkəl] (動) 回收；再利用
red	red [rɛd] (形) 紅色的
redact	redact [rɪ'dækt] (動) 編輯；刪節
redden	redden ['rɛdən] (動) 變紅；使變紅
reddish-brown	reddish-brown ['rɛdɪʃ 'braʊn] (形) 紅褐色的
reddish	reddish ['rɛdɪʃ] (形) 略帶紅色的；微紅的
redeem	redeem [rɪ'dim] (動) 贖回；彌補
redemption	redemption [rɪ'dɛmpʃən] (名) 贖回；贖罪
redesign	redesign [ˌridɪ'zaɪn] (動) 重新設計
rediscover	rediscover [ridɪ'skʌvɚ] (動) 重新發現；重新發掘
redo	redo [ri'du] (動) 重做；再做
reduce	reduce [rɪ'djus] (動) 減少；降低
reduction	reduction [rɪ'dʌkʃən] (名) 減少；降低
redundancy	redundancy [rɪ'dʌndənsi] (名) 備援；多餘；冗詞
redundant	redundant [rɪ'dʌndənt] (形) 多餘的；被裁減的
reed	reed [rid] (名) 蘆葦；簧片
reef	reef [rif] (名) 礁；暗礁
reek	reek [rik] (名) 惡臭；臭氣　(動) 發出惡臭
reel	reel [ril] (動) 捲；收線　(名) 捲軸；線軸
reeling	reeling ['rilɪŋ] (動) 搖搖欲墜；震驚
refelction	refelction [rɪ'flɛkʃən] (名) 反射；反映；深思；反思
refer	refer [rɪ'fɝ] (動) 參考；提及
referee	referee [ˌrɛfə'ri] (名) 裁判；(動) 擔任裁判
reference	reference ['rɛfərəns] (名) 參考；提及
referendum	referendum [ˌrɛfə'rɛndəm] (名) 公民投票；公投
referral	referral [rɪ'fɝəl] (名) 推薦；轉介
refill	refill (名) ['riˌfɪl] 補充物；補充筆芯　(動) [ri'fɪl] 再裝滿；補充
refine	refine [rɪ'faɪn] (動) 精煉；改進
refined	refined [rɪ'faɪnd] (形) 精煉的；優雅的
reflect	reflect [rɪ'flɛkt] (動) 反射；反映
reflection	reflection [rɪ'flɛkʃən] (名) 反映；反射；倒影
reflective	reflective [rɪ'flɛktɪv] (形) 反思的；反光的
reflex	reflex [rɪ'flɛks] (名) 反射；反應
reforestation	reforestation [riˌfɔrə'steʃən] (名) 重新造林
reform	reform [rɪ'fɔrm] (名) 改革；革新　(動) 改革；改造
reformer	reformer [rɪ'fɔrmɚ] (名) 改革者；革新者
refract	refract [rɪ'frækt] (動) 折射
refrain	refrain [rɪ'fren] (動) 克制；避免
refreeze	refreeze [ri'friz] (動) 重新結冰；再冷凍
refresh	refresh [rɪ'frɛʃ] (動) 使恢復精神；使清新
refresher	refresher [rɪ'frɛʃɚ] (名) 複習；恢復精神的人或物
refreshing	refreshing [rɪ'frɛʃɪŋ] (形) 提神的；清爽的
refreshment	refreshment [rɪ'frɛʃmənt] (名) 點心；飲料；恢復精神的事物
refrigerant	refrigerant [rɪ'frɪdʒərənt] (名) 冷媒；製冷劑
refrigerator	refrigerator [rɪ'frɪdʒəˌretɚ] (名) 冰箱
refuge	refuge ['rɛfjudʒ] (名) 避難所；庇護
refugee	refugee [rɛfju'dʒi] (名) 難民；避難者
refund	refund (名) ['riˌfʌnd] 退款　(動) [rɪ'fʌnd] 退還；退款
refundable	refundable [rɪ'fʌndəbəl] (形) 可退款的；可退還的
refurbish	refurbish [rɪ'fɝbɪʃ] (動) 翻新；整修
refurbishment	refurbishment [rɪ'fɝbɪʃmənt] (名) 翻新；整修
refusal	refusal [rɪ'fju:zl̩] (名) 拒絕
refuse	refuse [rɪ'fjuz] (動) 拒絕
refute	refute [rɪ'fjut] (動) 反駁；駁斥
regain	regain [rɪ'geɪn] (動) 重新獲得；恢復
regard	regard [rɪ'gɑrd] (動) 視為；看待
regard|	regard| [rɪ'gɑrd] (動) 將…視為；看待　(名) 尊重；關心
regarding	regarding [rɪ'gɑrdɪŋ] (介) 關於；至於
regardless	regardless [rɪ'gɑrdləs] (副) 無論；不管
regardless|	regardless| [rɪ'gɑrdləs] (副) 無論；不管
reggae	reggae [rɛ'ge] (名) 雷鬼音樂
regime	regime [rɛ'ʒim] (名) 政權；管理體制
regimen	regimen ['rɛdʒəmən] (名) 養生法；作息計畫
regiment	regiment ['rɛdʒəmɛnt] (動) 嚴格管制；統治
region	region ['ridʒən] (名) 地區；區域
regional	regional ['ridʒənəl] (形) 地區的；區域的
register	register ['rɛdʒɪstɚ] (動) 登記；註冊
registration	registration [rɛdʒɪ'streʃən] (名) 登記；註冊；報名
regressive	regressive [rɪ'grɛsɪv] (形) 倒退的；退步的
regret	regret [rɪ'grɛt] (動) 後悔；遺憾
regretful	regretful [rɪ'grɛtfəl] (形) 後悔的；遺憾的
regrettable	regrettable [rɪ'grɛtəbəl] (形) 令人遺憾的；可惜的
regrettably	regrettably [rɪ'grɛtəbli] (副) 遺憾地；可惜地
regular	regular ['rɛgjəlɚ] (形) 規律的；固定的
regularly	regularly ['rɛgjəlɚli] (副) 定期地；經常地
regulate	regulate ['rɛgjəˌlet] (動) 調節；管理
regulation	regulation [ˌrɛgjə'leʃən] (名) 規定；規章
regulator	regulator ['rɛgjəˌletɚ] (名) 監管機構；調節器
rehabilitate	rehabilitate [ˌrihə'bɪləˌtet] (動) 恢復；使復原
rehabilitation	rehabilitation [ˌrihəˌbɪlə'teʃən] (名) 復健；重建
rehearsal	rehearsal [rɪ'hɝsəl] (名) 排練；預演
rehearse	rehearse [rɪ'hɝs] (動) 排練；預演
reign	reign [reɪn] (名) 統治時期；王朝
reimburse	reimburse [ˌriɪm'bɝs] (動) 報銷；補償
reimbursement	reimbursement [ˌriɪm'bɝsmənt] (名) 報銷；退款
rein	rein [ren] (動) 控制；約束　(名) 韁繩
reincarnate	reincarnate [ri'ɪnkɑrneɪt] (動) 使重生；使轉世
reincarnation	reincarnation [ˌriɪnˌkɑr'neʃən] (名) 輪迴；轉世
reincarnationist	reincarnationist [ˌriɪnˌkɑrnə'ʃeɪʃənɪst] (名) 輪迴論者；轉世論者
reinforce	reinforce [ˌriɪn'fɔrs] (動) 加強；增援
